index,l(w),l(x),l(y),l(xy),l(yx),l(y*x),l(y\lefttriangle x),\mu_1,\mu_2,\mu_3,\mu_4,\mu_5,\delta(x_12),\delta(x_13),\delta(x_14),\delta(x_15),\delta(x_23),\delta(x_24),\delta(x_25),\delta(x_34),\delta(x_35),\delta(x_45),\delta(y^-1_12),\delta(y^-1_13),\delta(y^-1_14),\delta(y^-1_15),\delta(y^-1_23),\delta(y^-1_24),\delta(y^-1_25),\delta(y^-1_34),\delta(y^-1_35),\delta(y^-1_45),dimension,components
1,41,4,7,3,7,10,5,5,1,0,-1,-5,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,24,72
2,47,4,7,3,7,10,5,5,3,-1,-2,-5,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,27,24
3,45,4,7,3,7,10,5,5,2,0,-2,-5,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,26,54
4,37,3,6,3,7,8,5,4,2,0,-2,-4,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,22,12
5,49,6,3,3,7,8,0,4,2,1,-1,-6,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,28,60
6,45,5,2,3,7,7,0,5,1,0,-2,-4,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,26,60
7,53,6,3,3,7,8,0,6,2,-1,-3,-4,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,30,24
8,48,3,5,6,6,7,4,6,2,-1,-3,-4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,27,2
9,44,8,4,6,6,9,0,3,2,1,0,-6,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,25,2
10,36,5,7,6,6,9,4,3,2,1,-1,-5,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,21,1
11,56,3,9,6,8,10,7,6,4,-1,-3,-6,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,32,6
12,68,7,3,6,8,9,0,6,3,2,-5,-6,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,38,68
13,52,2,6,6,6,7,5,5,4,0,-4,-5,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,29,3
14,50,5,5,6,10,10,2,5,2,0,-1,-6,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,30,84
15,56,3,5,6,6,7,3,6,4,-2,-3,-5,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,31,10
16,34,4,6,6,8,9,4,4,2,-1,-2,-3,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,21,11
17,48,4,6,6,8,9,4,5,4,-2,-3,-4,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,28,27
18,54,2,6,6,8,8,6,5,3,2,-4,-6,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,31,6
19,40,3,5,6,6,7,4,4,2,0,-1,-5,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,23,4
20,70,8,2,6,10,10,0,6,5,-2,-3,-6,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,40,160
21,58,7,5,6,6,9,1,6,3,-1,-3,-5,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,32,9
22,52,5,3,6,6,7,2,5,2,0,-1,-6,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,29,15
23,40,5,3,6,6,7,1,5,1,-1,-2,-3,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,23,3
24,38,8,4,6,8,10,0,3,2,0,-1,-4,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,22,9
25,38,7,3,6,10,10,0,3,2,0,-1,-4,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,24,20
26,50,2,6,6,6,7,5,6,2,0,-3,-5,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,28,2
27,58,6,4,6,8,9,1,6,2,1,-4,-5,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,33,45
28,48,4,4,6,8,8,3,5,2,0,-2,-5,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,28,45
29,44,4,4,6,8,8,3,4,2,1,-2,-5,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,26,9
